Title,Author,Genre,Height,Publisher
Ashenden of The British Agent,William S Maugham,fiction,160,Vintage
Zen & The Art of Motorcycle Maintenance,Robert Pirsig,philosophy,172,Vintage
The Great War for Civilization,Robert Fisk,history,197,HarperCollins
We the Living,Ayn Rand,fiction,178,Penguin
The Artist and the Mathematician,Amir Aczel,science,186,HighStakes
History of Western Philosophy,Bertrand Russell,philosophy,213,Routledge
Selected Short Stories,,fiction,215,Jaico
Rationality & Freedom,Amartya Sen,economics,213,Springer
Clash of Civilizations and Remaking of the World Order,Samuel Huntington,history,228,Simon&Schuster
Uncommon Wisdom,Fritjof Capra,nonfiction,197,Fontana
One,Richard Bach,nonfiction,172,Dell
Karl Marx Biography,,nonfiction,162,
To Sir With Love,Braithwaite,fiction,197,Penguin
Half A Life,V S Naipaul,fiction,196,
The Discovery of India,Jawaharlal Nehru,history,230,
Apulki,P L Deshpande,nonfiction,211,
Unpopular Essays,Bertrand Russell,philosophy,198,
The Deceiver,Frederick Forsyth,fiction,178,
Veil: Secret Wars of the CIA,Bob Woodward,history,171,
Char Shabda,P L Deshpande,nonfiction,214,
Rosy is My Relative,Gerald Durrell,fiction,176,
The Moon and Sixpence,William S Maugham,fiction,180,
Political Philosophers,,philosophy,162,
A Short History of the World,H G Wells,history,197,
The Trembling of a Leaf,William S Maugham,fiction,205,
Doctor on the Brain,Richard Gordon,fiction,204,
Simpsons & Their Mathematical Secrets,Simon Singh,science,233,
Pattern Classification,Hart Duda,data_science,241,
From Beirut to Jerusalem,Thomas Friedman,history,202,
The Code Book,Simon Singh,science,197,
The Age of the Warrior,Robert Fisk,history,197,
Final Crisis,,comic,257,
The Killing Joke,,comic,283,
Flashpoint,,comic,265,
Batman Earth One,,comic,265,
Crisis on Infinite Earths,,comic,258,
The Numbers Behind Numb3rs,Keith Devlin,science,202,
Superman Earth One - 1,,comic,259,
Superman Earth One - 2,,comic,258,
Justice League: Throne of Atlantis,,comic,258,
Justice League: The Villain's Journey,,comic,258,
The Death of Superman,,comic,258,
History of the DC Universe,,comic,258,
Batman: The Long Halloween,,comic,258,
A Life in Letters,John Steinbeck,nonfiction,196,
The Information,James Gleick,science,233,
vol 106 No 3 Journal of Economics,,economics,235,
Elements of Information Theory,Joy Thomas,data_science,229,
Power Electronics - Rashid,Muhammad Rashid,computer_science,235,
Power Electronics - Mohan,Ned Mohan,computer_science,237,
Neural Networks,Simon Haykin,data_science,240,
The Grapes of Wrath,John Steinbeck,fiction,196,
Vyakti ani Valli,P L Deshpande,nonfiction,211,
Statistical Learning Theory,Vladimir Vapnik,data_science,228,
Empire of the Mughal - The Tainted Throne,Alex Rutherford,history,180,
Empire of the Mughal - Brothers at War,Alex Rutherford,history,180,
Empire of the Mughal - Ruler of the World,Alex Rutherford,history,180,
Empire of the Mughal - The Serpent's Tooth,Alex Rutherford,history,180,
Empire of the Mughal - Raiders from the North,Alex Rutherford,history,180,
Mossad,Michael Baz-Zohar,history,236,
Jim Corbett Omnibus,Jim Corbett,nonfiction,223,
20000 Leagues Under the Sea,Jules Verne,fiction,190,
Batatyachi Chal,Deshpande P L,fiction,200,
Hafasavnuk,Deshpande P L,fiction,211,
Urlasurla,Deshpande P L,fiction,211,
Pointers in C,Yashwant Kanetkar,computer_science,213,
The Cathedral and the Bazaar,Eric Raymond,computer_science,217,
Design with OpAmps,Sergio Franco,computer_science,240,
Think Complexity,Allen Downey,data_science,230,
The Devil's Advocate,Morris West,fiction,178,
Ayn Rand Answers,Ayn Rand,philosophy,203,
Philosophy: Who Needs It,Ayn Rand,philosophy,171,
The World's Great Thinkers,,philosophy,189,
Data Analysis with Open Source Tools,Phillip Janert,data_science,230,
Broca's Brain,Carl Sagan,science,174,
Men of Mathematics,E T Bell,mathematics,217,
Oxford book of Modern Science Writing,Richard Dawkins,science,240,
Judiciary and Democracy Justice,Sudhanshu Ranjan,philosophy,224,
The Arthashastra,Kautiyla,philosophy,214,
We the People,Palkhivala,philosophy,216,
We the Nation,Palkhivala,philosophy,216,
The Courtroom Genius,Sorabjee,nonfiction,217,
Dongri to Dubai,Hussain Zaidi,nonfiction,216,
Foundation History of England,Peter Ackroyd,history,197,
City of Djinns,William Dalrymple,history,198,
India's Legal System,Nariman,nonfiction,177,
More Tears to Cry,Jean Sassoon,fiction,235,
The Ropemaker,Peter Dickinson,fiction,196,
Angels & Demons,Dan Brown,fiction,170,
The Judge,,fiction,170,
The Attorney,,fiction,170,
The Prince,Machiavelli,philosophy,173,
Eyeless in Gaza,Aldous Huxley,fiction,180,
Tales of Beedle the Bard,J K Rowling,fiction,184,
Girl with the Dragon Tattoo,Steig Larsson,fiction,179,
Girl who kicked the Hornet's Nest,Steig Larsson,fiction,179,
Girl who played with Fire,Steig Larsson,fiction,179,
Batman Handbook,,comic,270,
Murphy's Law,,nonfiction,178,
Structure and Randomness,Terence Tao,mathematics,252,
Image Processing with MATLAB,Steve Eddins,signal_processing,241,
Animal Farm,George Orwell,fiction,180,
The Idiot,Fyodor Dostoevsky,fiction,197,
A Christmas Carol,Charles Dickens,fiction,196,
